cesta_k_souboru,sirka,vyska,prumerny_jas,label
dataset/ostatni\Brighton_&_Hove_Albion_player_face\000047.jpg,1200,900,180.11,0
dataset/ostatni\Burnley_player_face\000001.jpg,1920,1280,103.93,0
dataset/ostatni\Burnley_player_face\000002.jpg,1035,1035,113.8,0
dataset/ostatni\Burnley_player_face\000003.jpg,940,940,112.93,0
dataset/ostatni\Burnley_player_face\000004.jpg,1920,1280,146.91,0
dataset/ostatni\Burnley_player_face\000005.jpg,2000,1333,83.77,0
dataset/ostatni\Burnley_player_face\000006.jpg,960,1200,168.3,0
dataset/ostatni\Burnley_player_face\000007.jpg,1200,800,66.02,0
dataset/ostatni\Burnley_player_face\000008.jpg,2000,1333,107.44,0
dataset/ostatni\Burnley_player_face\000009.jpg,2000,1474,120.15,0
dataset/ostatni\Burnley_player_face\000010.jpg,960,1200,134.02,0
dataset/ostatni\Burnley_player_face\000011.jpg,2000,1334,133.0,0
dataset/ostatni\Burnley_player_face\000012.jpg,2000,1333,96.29,0
dataset/ostatni\Burnley_player_face\000013.jpg,2000,1333,101.49,0
dataset/ostatni\Burnley_player_face\000014.jpg,1200,1200,97.2,0
dataset/ostatni\Burnley_player_face\000015.jpg,1024,683,99.62,0
dataset/ostatni\Burnley_player_face\000016.jpg,2000,1333,98.1,0
dataset/ostatni\Burnley_player_face\000017.jpg,800,450,91.07,0
dataset/ostatni\Burnley_player_face\000018.jpg,1920,1280,107.73,0
dataset/ostatni\Burnley_player_face\000019.jpg,800,450,124.72,0
dataset/ostatni\Burnley_player_face\000020.jpg,4719,4717,131.67,0
dataset/ostatni\Burnley_player_face\000021.jpg,1920,1080,82.2,0
dataset/ostatni\Burnley_player_face\000022.jpg,1300,1004,54.79,0
dataset/ostatni\Burnley_player_face\000023.jpg,1920,1122,37.07,0
dataset/ostatni\Burnley_player_face\000024.jpg,1000,1000,173.85,0
dataset/ostatni\Burnley_player_face\000025.jpg,1200,630,42.32,0
dataset/ostatni\Burnley_player_face\000026.jpg,1600,900,133.16,0
dataset/ostatni\Burnley_player_face\000027.jpg,800,450,77.96,0
dataset/ostatni\Burnley_player_face\000028.jpg,800,450,52.83,0
dataset/ostatni\Burnley_player_face\000029.jpg,1500,1101,112.26,0
dataset/ostatni\Burnley_player_face\000030.jpg,1300,989,155.54,0
dataset/ostatni\Burnley_player_face\000031.jpg,800,450,106.84,0
dataset/ostatni\Burnley_player_face\000032.jpg,1600,900,113.6,0
dataset/ostatni\Burnley_player_face\000033.jpg,1064,756,87.07,0
dataset/ostatni\Burnley_player_face\000034.jpg,2560,1791,108.17,0
dataset/ostatni\Burnley_player_face\000035.jpg,768,1000,85.01,0
dataset/ostatni\Burnley_player_face\000036.jpg,575,400,73.04,0
dataset/ostatni\Burnley_player_face\000037.jpg,1200,628,70.78,0
dataset/ostatni\Burnley_player_face\000038.jpg,1600,853,94.54,0
dataset/ostatni\Burnley_player_face\000039.jpg,1920,1189,95.42,0
dataset/ostatni\Burnley_player_face\000040.jpg,1200,800,113.68,0
dataset/ostatni\Burnley_player_face\000041.jpg,2560,1726,49.73,0
dataset/ostatni\Burnley_player_face\000042.jpg,3126,2160,87.13,0
dataset/ostatni\Burnley_player_face\000043.jpg,1920,1080,63.66,0
dataset/ostatni\Burnley_player_face\000044.jpg,1000,667,96.42,0
dataset/ostatni\Burnley_player_face\000045.jpg,634,357,121.36,0
dataset/ostatni\Burnley_player_face\000046.jpg,634,428,77.5,0
dataset/ostatni\Burnley_player_face\000047.jpg,1600,1100,57.74,0
dataset/ostatni\Burnley_player_face\000048.jpg,1200,1200,83.77,0
dataset/ostatni\Burnley_player_face\000049.jpg,1280,720,70.06,0
dataset/ostatni\Burnley_player_face\000050.jpg,1280,720,50.8,0
dataset/ostatni\Burnley_player_face\000051.jpg,1280,720,83.18,0
dataset/ostatni\Burnley_player_face\000052.jpg,1280,720,103.0,0
dataset/ostatni\Burnley_player_face\000053.jpg,1080,1080,133.21,0
dataset/ostatni\Burnley_player_face\000054.jpg,675,1200,214.37,0
dataset/ostatni\Burnley_player_face\000055.jpg,900,1200,102.98,0
dataset/ostatni\Burnley_player_face\000056.jpg,775,775,67.59,0
dataset/ostatni\Burnley_player_face\000057.jpg,720,1280,119.86,0
dataset/ostatni\Burnley_player_face\000058.jpg,798,1200,61.68,0
dataset/ostatni\Burnley_player_face\000059.jpg,1080,1920,90.07,0
dataset/ostatni\Burnley_player_face\000060.jpg,976,650,105.93,0
dataset/ostatni\Burnley_player_face\000061.jpg,990,557,55.8,0
dataset/ostatni\Burnley_player_face\000062.jpg,976,549,42.73,0
dataset/ostatni\Burnley_player_face\000063.jpg,800,450,42.72,0
dataset/ostatni\Burnley_player_face\000064.jpg,624,350,203.97,0
dataset/ostatni\Chelsea_player_face\000001.jpg,2181,1227,118.32,0
dataset/ostatni\Chelsea_player_face\000002.jpg,1536,1062,41.06,0
dataset/ostatni\Chelsea_player_face\000003.jpg,960,1200,51.07,0
dataset/ostatni\Chelsea_player_face\000004.jpg,1300,955,117.12,0
dataset/ostatni\Chelsea_player_face\000005.jpg,542,813,97.02,0
dataset/ostatni\Chelsea_player_face\000006.jpg,1024,683,115.07,0
dataset/ostatni\Chelsea_player_face\000007.jpg,1600,2218,85.32,0
dataset/ostatni\Chelsea_player_face\000008.jpg,1125,2436,57.86,0
dataset/ostatni\Chelsea_player_face\000009.jpg,675,1200,94.23,0
dataset/ostatni\Chelsea_player_face\000010.jpg,683,683,106.59,0
dataset/ostatni\Chelsea_player_face\000011.jpg,1200,630,96.7,0
dataset/ostatni\Chelsea_player_face\000012.jpg,1536,1024,69.78,0
dataset/ostatni\Chelsea_player_face\000013.jpg,1280,700,103.9,0
dataset/ostatni\Chelsea_player_face\000014.jpg,1280,700,173.92,0
dataset/ostatni\Chelsea_player_face\000015.jpg,720,1290,143.18,0
dataset/ostatni\Chelsea_player_face\000016.jpg,1300,945,106.04,0
dataset/ostatni\Chelsea_player_face\000017.jpg,1920,1919,18.94,0
dataset/ostatni\Chelsea_player_face\000018.jpg,615,409,66.52,0
dataset/ostatni\Chelsea_player_face\000019.jpg,615,410,89.21,0
dataset/ostatni\Chelsea_player_face\000020.jpg,887,1920,57.89,0
dataset/ostatni\Chelsea_player_face\000021.jpg,615,410,83.25,0
dataset/ostatni\Chelsea_player_face\000022.jpg,474,590,127.0,0
dataset/ostatni\Chelsea_player_face\000023.jpg,1136,1312,129.92,0
dataset/ostatni\Chelsea_player_face\000024.jpg,1125,2436,153.62,0
dataset/ostatni\Chelsea_player_face\000025.jpg,736,1103,58.39,0
dataset/ostatni\Chelsea_player_face\000026.jpg,1080,1350,95.04,0
dataset/ostatni\Chelsea_player_face\000027.jpg,3000,2000,131.73,0
dataset/ostatni\Chelsea_player_face\000028.jpg,968,1200,125.26,0
dataset/ostatni\Chelsea_player_face\000029.jpg,1920,1280,150.1,0
dataset/ostatni\Chelsea_player_face\000030.jpg,736,1308,53.97,0
dataset/ostatni\Chelsea_player_face\000031.jpg,964,1200,80.95,0
dataset/ostatni\Chelsea_player_face\000032.jpg,634,419,80.65,0
dataset/ostatni\Chelsea_player_face\000033.jpg,736,728,157.54,0
dataset/ostatni\Chelsea_player_face\000034.jpg,3000,1500,84.87,0
dataset/ostatni\Chelsea_player_face\000035.jpg,1200,628,95.28,0
dataset/ostatni\Chelsea_player_face\000036.jpg,1600,900,49.31,0
dataset/ostatni\Chelsea_player_face\000037.jpg,3000,1500,72.6,0
dataset/ostatni\Chelsea_player_face\000038.jpg,1280,720,99.58,0
dataset/ostatni\Chelsea_player_face\000039.jpg,1280,720,138.19,0
dataset/ostatni\Chelsea_player_face\000040.jpg,1280,720,96.03,0
dataset/ostatni\Chelsea_player_face\000041.jpg,1280,720,111.62,0
dataset/ostatni\Chelsea_player_face\000042.jpg,1280,720,96.46,0
dataset/ostatni\Chelsea_player_face\000043.jpg,750,1334,145.06,0
dataset/ostatni\Chelsea_player_face\000044.jpg,593,823,104.11,0
dataset/ostatni\Chelsea_player_face\000045.jpg,720,1280,74.72,0
dataset/ostatni\Chelsea_player_face\000046.jpg,500,673,96.89,0
dataset/ostatni\Chelsea_player_face\000047.jpg,735,1037,129.91,0
dataset/ostatni\Chelsea_player_face\000048.jpg,736,1264,48.88,0
dataset/ostatni\Chelsea_player_face\000049.jpg,735,891,78.05,0
dataset/ostatni\Chelsea_player_face\000050.jpg,736,1103,47.47,0
dataset/ostatni\Chelsea_player_face\000051.jpg,1080,1920,45.2,0
dataset/ostatni\Chelsea_player_face\000052.jpg,736,920,104.03,0
dataset/ostatni\Chelsea_player_face\000053.jpg,708,1200,167.79,0
dataset/ostatni\Chelsea_player_face\000054.jpg,736,730,42.21,0
dataset/ostatni\Chelsea_player_face\000055.jpg,780,653,45.75,0
dataset/ostatni\Chelsea_player_face\000056.jpg,424,594,101.16,0
dataset/ostatni\Chelsea_player_face\000057.jpg,938,2031,64.34,0
dataset/ostatni\Chelsea_player_face\000058.jpg,736,1103,77.42,0
dataset/ostatni\Chelsea_player_face\000059.jpg,1080,1920,36.32,0
dataset/ostatni\Chelsea_player_face\000060.jpg,640,1136,42.58,0
dataset/ostatni\Chelsea_player_face\000061.jpg,735,914,91.23,0
dataset/ostatni\Chelsea_player_face\000062.jpg,736,1472,41.88,0
dataset/ostatni\Chelsea_player_face\000063.jpg,691,1200,56.06,0
dataset/ostatni\Chelsea_player_face\000064.jpg,828,769,66.74,0
dataset/ostatni\Chelsea_player_face\000065.jpg,736,1308,84.89,0
dataset/ostatni\Chelsea_player_face\000066.jpg,976,549,55.5,0
dataset/ostatni\Chelsea_player_face\000067.jpg,736,741,145.68,0
dataset/ostatni\Chelsea_player_face\000068.jpg,236,470,22.77,0
dataset/ostatni\Chelsea_player_face\000069.jpg,683,1024,81.31,0
dataset/ostatni\Chelsea_player_face\000070.jpg,929,1023,91.37,0
dataset/ostatni\Chelsea_player_face\000071.jpg,675,1200,74.2,0
dataset/ostatni\Chelsea_player_face\000072.jpg,735,889,86.38,0
dataset/ostatni\Chelsea_player_face\000073.jpg,736,991,104.54,0
dataset/ostatni\Chelsea_player_face\000074.jpg,702,983,85.2,0
dataset/ostatni\Crystal_Palace_player_face\000001.jpg,1024,707,55.39,0
dataset/ostatni\Crystal_Palace_player_face\000002.jpg,1024,1024,50.0,0
dataset/ostatni\Crystal_Palace_player_face\000003.jpg,1200,630,42.0,0
dataset/ostatni\Crystal_Palace_player_face\000004.jpg,1024,671,54.51,0
dataset/ostatni\Crystal_Palace_player_face\000005.jpg,1920,1430,89.19,0
dataset/ostatni\Crystal_Palace_player_face\000006.jpg,1140,839,88.78,0
dataset/ostatni\Crystal_Palace_player_face\000007.jpg,1140,845,120.77,0
dataset/ostatni\Crystal_Palace_player_face\000008.jpg,1080,720,54.14,0
dataset/ostatni\Crystal_Palace_player_face\000009.jpg,750,482,40.89,0
dataset/ostatni\Crystal_Palace_player_face\000010.jpg,1920,1280,130.3,0
dataset/ostatni\Crystal_Palace_player_face\000011.jpg,1920,1280,77.84,0
dataset/ostatni\Crystal_Palace_player_face\000012.jpg,1920,1100,63.68,0
dataset/ostatni\Crystal_Palace_player_face\000013.jpg,3000,1500,41.07,0
dataset/ostatni\Crystal_Palace_player_face\000014.jpg,3000,1500,64.25,0
dataset/ostatni\Crystal_Palace_player_face\000015.jpg,1140,760,49.28,0
dataset/ostatni\Crystal_Palace_player_face\000016.jpg,1024,683,82.45,0
dataset/ostatni\Crystal_Palace_player_face\000017.jpg,1024,683,70.95,0
dataset/ostatni\Crystal_Palace_player_face\000018.jpg,1536,1040,51.01,0
dataset/ostatni\Crystal_Palace_player_face\000019.jpg,736,920,110.21,0
dataset/ostatni\Crystal_Palace_player_face\000020.jpg,750,500,76.6,0
dataset/ostatni\Crystal_Palace_player_face\000021.jpg,1024,683,101.27,0
dataset/ostatni\Crystal_Palace_player_face\000022.jpg,5584,3728,95.52,0
dataset/ostatni\Crystal_Palace_player_face\000023.jpg,1920,1280,68.03,0
dataset/ostatni\Crystal_Palace_player_face\000024.jpg,1140,679,27.97,0
dataset/ostatni\Crystal_Palace_player_face\000025.jpg,1140,760,83.82,0
dataset/ostatni\Crystal_Palace_player_face\000026.jpg,1920,1400,79.38,0
dataset/ostatni\Crystal_Palace_player_face\000027.jpg,1200,845,96.64,0
dataset/ostatni\Crystal_Palace_player_face\000028.jpg,1024,748,121.13,0
dataset/ostatni\Crystal_Palace_player_face\000029.jpg,1920,1283,77.51,0
dataset/ostatni\Crystal_Palace_player_face\000030.jpg,2560,1707,124.08,0
dataset/ostatni\Crystal_Palace_player_face\000031.jpg,1200,968,64.45,0
dataset/ostatni\Crystal_Palace_player_face\000032.jpg,912,516,111.32,0
dataset/ostatni\Crystal_Palace_player_face\000033.jpg,1140,796,96.19,0
dataset/ostatni\Crystal_Palace_player_face\000034.jpg,1200,950,84.37,0
dataset/ostatni\Crystal_Palace_player_face\000035.jpg,1495,900,75.15,0
dataset/ostatni\Crystal_Palace_player_face\000036.jpg,800,450,70.8,0
dataset/ostatni\Crystal_Palace_player_face\000037.jpg,1920,1275,56.58,0
dataset/ostatni\Crystal_Palace_player_face\000038.jpg,1920,1280,69.2,0
dataset/ostatni\Crystal_Palace_player_face\000039.jpg,768,458,27.95,0
dataset/ostatni\Crystal_Palace_player_face\000040.jpg,2560,1813,106.23,0
dataset/ostatni\Crystal_Palace_player_face\000041.jpg,1536,1024,60.07,0
dataset/ostatni\Crystal_Palace_player_face\000042.jpg,3000,1500,121.13,0
dataset/ostatni\Crystal_Palace_player_face\000043.jpg,1536,1024,65.79,0
dataset/ostatni\Crystal_Palace_player_face\000044.jpg,1024,774,97.48,0
dataset/ostatni\Crystal_Palace_player_face\000045.jpg,1500,1000,107.0,0
dataset/ostatni\Crystal_Palace_player_face\000046.jpg,1920,1233,104.87,0
dataset/ostatni\Crystal_Palace_player_face\000047.jpg,3000,1500,142.06,0
dataset/ostatni\Crystal_Palace_player_face\000048.jpg,1140,760,120.66,0
dataset/ostatni\Crystal_Palace_player_face\000049.jpg,1920,1280,73.1,0
dataset/ostatni\Crystal_Palace_player_face\000050.jpg,2048,1152,77.68,0
dataset/ostatni\Crystal_Palace_player_face\000051.jpg,1600,900,54.5,0
dataset/ostatni\Crystal_Palace_player_face\000052.jpg,2048,1152,82.63,0
dataset/ostatni\Crystal_Palace_player_face\000053.jpg,768,549,126.45,0
dataset/ostatni\Crystal_Palace_player_face\000054.jpg,1536,1025,83.64,0
dataset/ostatni\Crystal_Palace_player_face\000055.jpg,1536,1024,113.39,0
dataset/ostatni\Crystal_Palace_player_face\000056.jpg,720,900,100.36,0
dataset/ostatni\Crystal_Palace_player_face\000057.jpg,1,1,83.67,0
dataset/ostatni\Crystal_Palace_player_face\000058.jpg,5004,3352,95.78,0
dataset/ostatni\Crystal_Palace_player_face\000059.jpg,2048,1152,48.43,0
dataset/ostatni\Crystal_Palace_player_face\000060.jpg,976,649,53.39,0
dataset/ostatni\Crystal_Palace_player_face\000061.jpg,1024,576,92.43,0
dataset/ostatni\Crystal_Palace_player_face\000062.jpg,2560,1439,98.58,0
dataset/ostatni\Crystal_Palace_player_face\000063.jpg,1536,1097,126.47,0
dataset/ostatni\Crystal_Palace_player_face\000064.jpg,976,548,91.22,0
dataset/ostatni\Erling_Haaland_face\000001.jpg,1200,790,113.84,0
dataset/ostatni\Erling_Haaland_face\000002.jpg,2048,1140,63.54,0
dataset/ostatni\Erling_Haaland_face\000003.jpg,1235,831,102.87,0
dataset/ostatni\Erling_Haaland_face\000004.jpg,2314,1541,100.08,0
dataset/ostatni\Erling_Haaland_face\000005.jpg,6000,4000,92.18,0
dataset/ostatni\Erling_Haaland_face\000006.jpg,1296,729,78.81,0
dataset/ostatni\Erling_Haaland_face\000007.jpg,1296,729,87.74,0
dataset/ostatni\Erling_Haaland_face\000008.jpg,3619,2413,91.36,0
dataset/ostatni\Erling_Haaland_face\000009.jpg,2560,1440,64.02,0
dataset/ostatni\Erling_Haaland_face\000010.jpg,2048,1152,52.28,0
dataset/ostatni\Erling_Haaland_face\000011.jpg,1920,1080,132.97,0
dataset/ostatni\Erling_Haaland_face\000012.jpg,3000,1500,61.93,0
dataset/ostatni\Erling_Haaland_face\000013.jpg,1200,630,83.78,0
dataset/ostatni\Erling_Haaland_face\000014.jpg,4218,2811,104.6,0
dataset/ostatni\Erling_Haaland_face\000015.jpg,1920,1080,65.59,0
dataset/ostatni\Erling_Haaland_face\000016.jpg,1200,956,92.11,0
dataset/ostatni\Erling_Haaland_face\000017.jpg,1200,630,64.82,0
dataset/ostatni\Erling_Haaland_face\000018.jpg,2967,1977,124.47,0
dataset/ostatni\Erling_Haaland_face\000019.jpg,3325,2413,86.12,0
dataset/ostatni\Erling_Haaland_face\000020.jpg,1600,900,125.72,0
dataset/ostatni\Erling_Haaland_face\000021.jpg,2500,1720,97.73,0
dataset/ostatni\Erling_Haaland_face\000022.jpg,636,382,71.7,0
dataset/ostatni\Erling_Haaland_face\000023.jpg,1200,630,98.16,0
dataset/ostatni\Erling_Haaland_face\000024.jpg,1200,630,113.05,0
dataset/ostatni\Erling_Haaland_face\000025.jpg,810,539,96.41,0
dataset/ostatni\Erling_Haaland_face\000026.jpg,1600,900,104.45,0
dataset/ostatni\Erling_Haaland_face\000027.jpg,615,410,172.62,0
dataset/ostatni\Erling_Haaland_face\000028.jpg,1200,630,45.8,0
dataset/ostatni\Erling_Haaland_face\000029.jpg,1200,630,104.83,0
dataset/ostatni\Erling_Haaland_face\000030.jpg,1200,800,121.8,0
dataset/ostatni\Erling_Haaland_face\000031.jpg,1200,800,121.76,0
dataset/ostatni\Erling_Haaland_face\000032.jpg,1600,900,71.64,0
dataset/ostatni\Erling_Haaland_face\000033.jpg,2048,1152,115.6,0
dataset/ostatni\Erling_Haaland_face\000034.jpg,2048,1152,99.25,0
dataset/ostatni\Erling_Haaland_face\000035.jpg,1200,675,115.83,0
dataset/ostatni\Erling_Haaland_face\000036.jpg,615,410,144.59,0
dataset/ostatni\Erling_Haaland_face\000037.jpg,1200,630,83.02,0
dataset/ostatni\Erling_Haaland_face\000038.jpg,1200,630,89.9,0
dataset/ostatni\Erling_Haaland_face\000039.jpg,1600,900,104.47,0
dataset/ostatni\Erling_Haaland_face\000040.jpg,1023,682,103.33,0
dataset/ostatni\Everton_player_face\000001.jpg,1920,1280,99.71,0
dataset/ostatni\Everton_player_face\000002.jpg,1920,1280,68.96,0
dataset/ostatni\Everton_player_face\000003.jpg,1536,1024,106.26,0
dataset/ostatni\Everton_player_face\000004.jpg,1920,1280,171.84,0
dataset/ostatni\Everton_player_face\000005.jpg,1140,860,100.66,0
dataset/ostatni\Everton_player_face\000006.jpg,1920,1280,100.06,0
dataset/ostatni\Everton_player_face\000007.jpg,1920,1280,91.28,0
dataset/ostatni\Everton_player_face\000008.jpg,1920,1280,51.28,0
dataset/ostatni\Everton_player_face\000009.jpg,1920,1231,54.71,0
dataset/ostatni\Everton_player_face\000010.jpg,1920,1280,126.17,0
dataset/ostatni\Everton_player_face\000011.jpg,1140,870,109.23,0
dataset/ostatni\Everton_player_face\000012.jpg,1920,1280,155.47,0
dataset/ostatni\Everton_player_face\000013.jpg,1920,1280,138.17,0
dataset/ostatni\Everton_player_face\000014.jpg,1920,1280,74.63,0
dataset/ostatni\Everton_player_face\000015.jpg,1920,1280,103.46,0
dataset/ostatni\Everton_player_face\000016.jpg,1536,1024,112.05,0
dataset/ostatni\Everton_player_face\000017.jpg,1920,1280,100.47,0
dataset/ostatni\Everton_player_face\000018.jpg,1920,1280,58.52,0
dataset/ostatni\Everton_player_face\000019.jpg,1920,1280,102.92,0
dataset/ostatni\Everton_player_face\000020.jpg,1140,835,73.95,0
dataset/ostatni\Everton_player_face\000021.jpg,1920,1080,124.82,0
dataset/ostatni\Everton_player_face\000022.jpg,1920,1280,74.85,0
dataset/ostatni\Everton_player_face\000023.jpg,1920,1280,115.87,0
dataset/ostatni\Everton_player_face\000024.jpg,1024,683,143.04,0
dataset/ostatni\Everton_player_face\000025.jpg,1920,1280,74.12,0
dataset/ostatni\Everton_player_face\000026.jpg,1536,1024,39.57,0
dataset/ostatni\Everton_player_face\000027.jpg,1536,1024,89.06,0
dataset/ostatni\Everton_player_face\000028.jpg,1300,916,130.51,0
dataset/ostatni\Everton_player_face\000029.jpg,1920,1280,139.76,0
dataset/ostatni\Everton_player_face\000030.jpg,1300,954,106.58,0
dataset/ostatni\Everton_player_face\000031.jpg,2626,1968,99.23,0
dataset/ostatni\Everton_player_face\000032.jpg,1920,1280,96.33,0
dataset/ostatni\Everton_player_face\000033.jpg,4986,3101,74.32,0
dataset/ostatni\Everton_player_face\000034.jpg,1140,760,100.46,0
dataset/ostatni\Everton_player_face\000035.jpg,1920,1252,125.27,0
dataset/ostatni\Everton_player_face\000036.jpg,4598,2699,92.93,0
dataset/ostatni\Everton_player_face\000037.jpg,1024,753,57.42,0
dataset/ostatni\Everton_player_face\000038.jpg,1200,630,116.89,0
dataset/ostatni\Everton_player_face\000039.jpg,1920,1080,95.2,0
dataset/ostatni\Everton_player_face\000040.jpg,736,1593,125.78,0
dataset/ostatni\Everton_player_face\000041.jpg,1920,1305,72.54,0
dataset/ostatni\Everton_player_face\000042.jpg,1920,1280,43.45,0
dataset/ostatni\Everton_player_face\000043.jpg,1000,667,163.31,0
dataset/ostatni\Everton_player_face\000044.jpg,1200,800,115.45,0
dataset/ostatni\Everton_player_face\000045.jpg,1300,955,88.69,0
dataset/ostatni\Everton_player_face\000046.jpg,1200,630,138.43,0
dataset/ostatni\Everton_player_face\000047.jpg,1300,966,84.07,0
dataset/ostatni\Everton_player_face\000048.jpg,1200,846,76.54,0
dataset/ostatni\Everton_player_face\000049.jpg,810,539,105.45,0
dataset/ostatni\Everton_player_face\000050.jpg,1200,630,74.05,0
dataset/ostatni\Everton_player_face\000051.jpg,1600,900,81.92,0
dataset/ostatni\Everton_player_face\000052.jpg,3000,1500,144.64,0
dataset/ostatni\Everton_player_face\000053.jpg,1200,630,80.34,0
dataset/ostatni\Everton_player_face\000054.jpg,1200,630,144.97,0
dataset/ostatni\Everton_player_face\000055.jpg,1200,630,82.69,0
dataset/ostatni\Everton_player_face\000056.jpg,1840,1227,124.93,0
dataset/ostatni\Everton_player_face\000057.jpg,1200,800,105.9,0
dataset/ostatni\Everton_player_face\000058.jpg,1200,630,147.89,0
dataset/ostatni\Everton_player_face\000059.jpg,1200,630,86.43,0
dataset/ostatni\Everton_player_face\000060.jpg,1009,1390,82.1,0
dataset/ostatni\Everton_player_face\000061.jpg,1280,720,76.96,0
dataset/ostatni\Everton_player_face\000062.jpg,1280,720,98.95,0
dataset/ostatni\Everton_player_face\000063.jpg,1280,720,66.11,0
dataset/ostatni\Everton_player_face\000064.jpg,1280,720,86.89,0
dataset/ostatni\Everton_player_face\000065.jpg,1280,720,85.15,0
dataset/ostatni\Everton_player_face\000066.jpg,448,614,68.1,0
dataset/ostatni\Everton_player_face\000067.jpg,1024,780,108.56,0
dataset/ostatni\Everton_player_face\000068.jpg,1460,1000,100.73,0
dataset/ostatni\Everton_player_face\000069.jpg,1501,1000,100.62,0
dataset/ostatni\Everton_player_face\000070.jpg,736,1308,106.76,0
dataset/ostatni\Everton_player_face\000071.jpg,736,1103,66.2,0
dataset/ostatni\Everton_player_face\000072.jpg,3000,1500,93.15,0
dataset/ostatni\Everton_player_face\000073.jpg,1500,1000,103.34,0
dataset/ostatni\Everton_player_face\000074.jpg,810,539,82.65,0
dataset/ostatni\football_fan_face\000001.jpg,626,417,105.35,0
dataset/ostatni\football_fan_face\000002.jpg,626,417,100.64,0
dataset/ostatni\football_fan_face\000003.jpg,626,417,105.76,0
dataset/ostatni\football_fan_face\000004.jpg,626,626,68.78,0
dataset/ostatni\football_fan_face\000005.jpg,626,417,101.77,0
dataset/ostatni\football_fan_face\000006.jpg,626,626,77.5,0
dataset/ostatni\football_fan_face\000007.jpg,626,626,107.43,0
dataset/ostatni\football_fan_face\000008.jpg,626,626,94.3,0
dataset/ostatni\football_fan_face\000009.jpg,417,626,74.97,0
dataset/ostatni\football_fan_face\000010.jpg,626,626,89.56,0
dataset/ostatni\football_fan_face\000011.jpg,1300,956,197.64,0
dataset/ostatni\football_fan_face\000012.jpg,626,626,77.63,0
dataset/ostatni\football_fan_face\000013.jpg,440,293,67.42,0
dataset/ostatni\football_fan_face\000014.jpg,440,293,59.32,0
dataset/ostatni\football_fan_face\000015.jpg,626,626,87.44,0
dataset/ostatni\football_fan_face\000016.jpg,440,293,69.48,0
dataset/ostatni\football_fan_face\000017.jpg,626,378,71.43,0
dataset/ostatni\football_fan_face\000018.jpg,626,417,70.8,0
dataset/ostatni\football_fan_face\000019.jpg,626,626,77.73,0
dataset/ostatni\football_fan_face\000020.jpg,626,626,78.68,0
dataset/ostatni\football_fan_face\000021.jpg,1470,980,114.17,0
dataset/ostatni\football_fan_face\000022.jpg,626,417,88.98,0
dataset/ostatni\football_fan_face\000023.jpg,1300,956,155.19,0
dataset/ostatni\football_fan_face\000024.jpg,626,417,79.37,0
dataset/ostatni\football_fan_face\000025.jpg,417,626,77.34,0
dataset/ostatni\football_fan_face\000026.jpg,626,626,89.32,0
dataset/ostatni\football_fan_face\000027.jpg,626,626,73.6,0
dataset/ostatni\football_fan_face\000028.jpg,626,447,147.23,0
dataset/ostatni\football_fan_face\000029.jpg,1300,956,154.01,0
dataset/ostatni\football_fan_face\000030.jpg,1300,956,151.23,0
dataset/ostatni\football_fan_face\000031.jpg,1300,1390,157.73,0
dataset/ostatni\football_fan_face\000032.jpg,1709,1140,116.53,0
dataset/ostatni\football_fan_face\000033.jpg,896,896,80.35,0
dataset/ostatni\football_fan_face\000034.jpg,800,686,215.99,0
dataset/ostatni\football_fan_face\000035.jpg,1300,902,143.15,0
dataset/ostatni\football_fan_face\000036.jpg,626,417,116.25,0
dataset/ostatni\football_fan_face\000037.jpg,568,554,71.85,0
dataset/ostatni\football_fan_face\000038.jpg,896,896,108.46,0
dataset/ostatni\football_fan_face\000039.jpg,2500,3333,108.27,0
dataset/ostatni\football_fan_face\000040.jpg,800,881,184.62,0
dataset/ostatni\football_fan_face\000041.jpg,1185,1690,127.56,0
dataset/ostatni\football_fan_face\000042.jpg,1300,956,92.13,0
dataset/ostatni\football_fan_face\000043.jpg,1300,956,179.02,0
dataset/ostatni\football_fan_face\000044.jpg,1300,956,71.93,0
dataset/ostatni\football_fan_face\000045.jpg,1300,1130,134.46,0
dataset/ostatni\football_fan_face\000046.jpg,627,900,189.0,0
dataset/ostatni\football_fan_face\000047.jpg,1115,1690,186.11,0
dataset/ostatni\football_fan_face\000048.jpg,740,900,191.08,0
dataset/ostatni\football_fan_face\000049.jpg,1300,956,175.87,0
dataset/ostatni\football_fan_face\000050.jpg,1300,956,169.54,0
dataset/ostatni\football_fan_face\000051.jpg,1300,956,167.94,0
dataset/ostatni\football_fan_face\000052.jpg,1300,956,168.34,0
dataset/ostatni\football_fan_face\000053.jpg,1000,561,68.33,0
dataset/ostatni\football_fan_face\000054.jpg,1495,2048,115.31,0
dataset/ostatni\football_fan_face\000055.jpg,1300,952,109.06,0
dataset/ostatni\football_fan_face\000056.jpg,736,999,108.66,0
dataset/ostatni\Fulham_player_face\000001.jpg,1000,704,101.13,0
dataset/ostatni\Fulham_player_face\000002.jpg,1000,562,222.22,0
dataset/ostatni\Fulham_player_face\000003.jpg,1920,1298,80.71,0
dataset/ostatni\Fulham_player_face\000004.jpg,1000,563,236.12,0
dataset/ostatni\Fulham_player_face\000005.jpg,1280,853,48.54,0
dataset/ostatni\Fulham_player_face\000006.jpg,1200,1200,68.86,0
dataset/ostatni\Fulham_player_face\000007.jpg,1000,562,238.88,0
